"Date/Time","Direction","Calling","Called","Extension","Ring","Wait","Talk","Answer","Class of Service","Site","Account","Cost","Charge Description","Source",
"05/02/2018 08:31:22","Outbound","02034053370","0097317207400","389","91",,"0","Unanswered","International","SIP Users",,,,"Desk Phone"
"05/02/2018 08:32:55","Outbound","02034053370","0097317207772","389","1",,"28","Answered","International","SIP Users",,"£0.1","Bahrain ","Desk Phone"
"05/02/2018 08:33:13","Outbound","02034053379","0081352129253","379","17",,"0","Unanswered","International","106 New Bond Street ",,,,"Desk Phone"
"05/02/2018 08:33:32","Outbound","02034053379","0081367521111","379","15",,"16","Answered","International","106 New Bond Street ",,"£0.037","Japan Tokyo","Desk Phone"
"05/02/2018 08:34:09","Outbound","02034053370","0097317223388","389","1",,"185","Answered","International","SIP Users",,"£0.521","Bahrain ","Desk Phone"
"05/02/2018 08:35:31","Outbound","02034053379","006562258888","379","14",,"86","Answered","International","106 New Bond Street ",,"£0.047","Singapore ","Desk Phone"
"05/02/2018 08:43:28","Outbound","02034053377","02037135011","377","12",,"3065","Answered","National","106 New Bond Street ",,"£0","UK London","Desk Phone"
"05/02/2018 08:46:04","Outbound","02034053370","002037135017","384","20",,"0","Unanswered","International","106 New Bond Street ",,,,"Desk Phone"
"05/02/2018 08:46:30","Outbound","02034053370","02037135011","384","9",,"2007","Answered","National","106 New Bond Street ",,"£0","UK London","Desk Phone"
"05/02/2018 09:23:51","Outbound","02034053399","0035227974785","399","65",,"0","Unanswered","International","106 New Bond Street ",,,,"Desk Phone"
"05/02/2018 09:26:13","Outbound","02034053370","0085222188388","389","8",,"36","Answered","International","SIP Users",,"£0.046","Hong Kong ","Desk Phone"
"05/02/2018 09:30:21","Outbound","02034053371","004539691144","371","14",,"30","Answered","International","106 New Bond Street ",,"£0.036","Denmark ","Desk Phone"
"05/02/2018 09:31:32","Outbound","02034053370","006597488297","389","27",,"4","Answered","International","SIP Users",,"£0.026","Singapore ","Desk Phone"
"05/02/2018 09:32:08","Outbound","02034053370","006568014088","389","1",,"121","Answered","International","SIP Users",,"£0.056","Singapore ","Desk Phone"
"05/02/2018 09:34:20","Outbound","02034053399","0035227974785","399","104",,"76","Answered","International","106 New Bond Street ",,"£0.057","Luxembourg ","Desk Phone"
"05/02/2018 09:34:23","Outbound","02034053378","0039026691349","378","64",,"1","Answered","International","106 New Bond Street ",,"£0.025","Italy ","Desk Phone"
"05/02/2018 09:34:44","Outbound","02034053370","0097317511111","385","1",,"97","Answered","International","106 New Bond Street ",,"£0.285","Bahrain ","Desk Phone"
"05/02/2018 09:36:15","Outbound","02034053371","00496921611256","371","29",,"219","Answered","International","106 New Bond Street ",,"£0.101","Germany ","Desk Phone"
"05/02/2018 09:36:57","Outbound","02034053378","00394221745973","378","17",,"0","Unanswered","International","106 New Bond Street ",,,,"Desk Phone"
"05/02/2018 09:38:26","Outbound","02034053370","0097317511111","385","1",,"154","Answered","International","106 New Bond Street ",,"£0.438","Bahrain ","Desk Phone"
"05/02/2018 09:39:49","Outbound","02034053378","0039027799254","378","22",,"79","Answered","International","106 New Bond Street ",,"£0.056","Italy ","Desk Phone"
"05/02/2018 09:39:59","Outbound","02034053370","0097142093439","394","44",,"0","Unanswered","International","106 New Bond Street ",,,,"Desk Phone"
"05/02/2018 09:42:14","Outbound","02034053399","0034914262447","399","17",,"61","Answered","International","106 New Bond Street ",,"£0.046","Spain ","Desk Phone"
